StartNode, EndNode, Connectivity
1,5,0.56087
1,9,0.56056
1,10,0.574
1,11,0.54315
1,15,0.52012
1,16,0.5401
1,20,0.5111
1,22,0.53311
1,23,0.5112
1,24,0.52266
1,25,0.55743
1,26,0.55825
1,27,0.51631
1,28,0.57667
1,29,0.67051
1,30,0.51257
1,39,0.53896
1,40,0.56028
1,42,0.50811
1,53,0.50238
1,56,0.52975
1,57,0.58829
1,60,0.53346
1,90,0.5102
2,6,0.64829
2,8,0.51071
2,9,0.61039
2,10,0.57574
2,12,0.60258
2,15,0.5408
2,16,0.6008
2,17,0.50729
2,20,0.61979
2,21,0.56502
2,22,0.5108
2,23,0.5397
2,24,0.62068
2,25,0.53438
2,27,0.62678
2,28,0.51338
2,42,0.64515
2,49,0.51449
2,53,0.50846
2,54,0.72428
2,56,0.57446
2,60,0.55404
2,61,0.81352
2,77,0.53604
2,93,0.56789
2,95,0.6464
2,101,0.53448
2,105,0.50977
3,4,0.8098
3,18,0.52356
3,25,0.51366
3,37,0.51078
3,39,0.56948
3,40,0.52608
3,55,0.54053
3,60,0.52395
3,76,0.69263
3,77,0.51529
3,78,0.66699
3,79,0.53552
3,80,0.58871
3,82,0.52512
3,83,0.5904
3,86,0.55974
3,92,0.51975
3,96,0.59071
3,97,0.51682
3,98,0.50564
4,10,0.53478
4,11,0.56296
4,18,0.59621
4,25,0.50107
4,37,0.52831
4,39,0.53277
4,40,0.5193
4,48,0.54378
4,59,0.50746
4,60,0.51469
4,67,0.50667
4,76,0.69657
4,77,0.61575
4,78,0.61406
4,79,0.5802
4,80,0.56867
4,81,0.50184
4,83,0.58325
4,86,0.54823
4,87,0.5262
4,89,0.51503
4,92,0.50726
4,96,0.5692
4,97,0.54629
4,98,0.50361
4,99,0.50074
5,7,0.55779
5,14,0.59116
5,15,0.52396
5,23,0.53515
5,29,0.59237
5,30,0.631
5,41,0.65925
5,44,0.50458
5,49,0.50379
5,50,0.5792
5,51,0.54536
5,79,0.51715
5,81,0.5089
5,85,0.5201
5,100,0.5103
5,102,0.55165
6,8,0.61477
6,15,0.61435
6,16,0.51089
6,17,0.56794
6,20,0.55773
6,21,0.66213
6,23,0.60044
6,24,0.59845
6,27,0.60686
6,29,0.52834
6,30,0.59546
6,41,0.64767
6,42,0.71063
6,44,0.57054
6,49,0.63422
6,51,0.52601
6,53,0.51764
6,54,0.70127
6,56,0.51991
6,61,0.61007
6,63,0.56677
6,65,0.52319
6,69,0.54697
6,93,0.54527
6,95,0.6537
6,100,0.62798
6,101,0.63258
6,103,0.56381
6,104,0.51175
6,105,0.60772
7,14,0.54442
7,32,0.62383
7,34,0.51554
7,35,0.57602
7,36,0.64617
7,38,0.51726
7,43,0.5573
7,44,0.50188
7,50,0.51664
7,71,0.52238
7,81,0.63064
7,86,0.51767
7,89,0.50262
7,102,0.57267
8,14,0.50713
8,41,0.52055
8,42,0.51304
8,44,0.58641
8,49,0.524
8,61,0.53294
8,69,0.53882
8,93,0.50786
8,95,0.53298
9,10,0.64467
9,11,0.53658
9,12,0.5181
9,15,0.52651
9,16,0.57063
9,17,0.50881
9,20,0.58863
9,23,0.51864
9,24,0.53433
9,25,0.59708
9,27,0.52541
9,29,0.53699
9,40,0.50012
9,42,0.51413
9,49,0.50516
9,54,0.51206
9,56,0.56344
9,57,0.50003
9,60,0.67206
9,61,0.62203
9,77,0.56745
9,87,0.5262
10,12,0.6138
10,15,0.57947
10,16,0.51993
10,17,0.50801
10,20,0.68458
10,21,0.54539
10,22,0.59413
10,23,0.55509
10,24,0.66772
10,25,0.59104
10,26,0.60884
10,27,0.53942
10,28,0.57825
10,29,0.56884
10,40,0.55082
10,42,0.58535
10,54,0.50915
10,56,0.59297
10,57,0.59545
10,60,0.60706
10,61,0.70011
10,77,0.6516
10,79,0.50318
10,93,0.56203
10,95,0.50961
10,97,0.56617
10,99,0.51177
11,18,0.5393
11,25,0.50788
11,26,0.53897
11,33,0.50652
11,35,0.52203
11,37,0.65502
11,38,0.5914
11,39,0.56946
11,45,0.50121
11,47,0.63513
11,48,0.60302
11,57,0.52448
11,58,0.61427
11,59,0.56889
11,66,0.615
11,67,0.59695
11,74,0.57073
11,75,0.57678
11,76,0.61326
11,77,0.50368
11,80,0.57467
11,83,0.62639
11,87,0.51623
11,88,0.63027
11,89,0.59304
11,91,0.51842
11,98,0.53813
12,15,0.52398
12,16,0.57243
12,19,0.50355
12,20,0.68474
12,21,0.62816
12,22,0.81863
12,23,0.52901
12,24,0.70697
12,26,0.56473
12,27,0.63942
