StartNode, EndNode, Connectivity
1,2,0.63648
1,3,0.56548
1,4,0.56019
1,5,0.60198
1,6,0.53995
1,8,0.56484
1,10,0.5398
1,11,0.54608
1,15,0.50397
1,24,0.53434
1,27,0.57079
1,28,0.60629
1,29,0.66355
1,30,0.64471
1,35,0.50802
1,36,0.51491
1,39,0.55244
1,40,0.53221
1,41,0.50521
1,42,0.57088
1,43,0.50474
1,45,0.54445
1,46,0.53232
1,47,0.56288
1,49,0.52071
1,52,0.52952
1,53,0.62391
1,54,0.55705
1,58,0.50378
1,60,0.72894
1,61,0.64728
1,63,0.51473
1,66,0.5101
1,69,0.62707
1,73,0.50983
1,74,0.59645
1,75,0.68386
1,76,0.54999
1,88,0.54126
1,89,0.5098
1,90,0.66238
1,91,0.60784
1,93,0.50364
1,99,0.58101
2,6,0.87529
2,8,0.75532
2,10,0.63361
2,12,0.62118
2,15,0.54256
2,20,0.52098
2,21,0.60888
2,22,0.54642
2,23,0.56294
2,24,0.75331
2,27,0.72638
2,28,0.62685
2,29,0.68537
2,30,0.72594
2,41,0.57332
2,42,0.7838
2,44,0.53484
2,49,0.62594
2,52,0.55269
2,53,0.51589
2,54,0.82957
2,60,0.51978
2,61,0.82545
2,62,0.58081
2,63,0.68385
2,69,0.53834
2,74,0.50297
2,75,0.59012
2,82,0.51576
2,90,0.60173
2,91,0.617
2,93,0.70436
2,95,0.66313
2,99,0.52757
2,100,0.54356
2,101,0.6789
2,105,0.53182
3,4,0.75909
3,5,0.65995
3,7,0.62984
3,11,0.77299
3,13,0.64631
3,14,0.55605
3,18,0.54895
3,19,0.5195
3,31,0.60831
3,32,0.61543
3,33,0.58073
3,34,0.59302
3,35,0.70146
3,36,0.72304
3,37,0.71608
3,38,0.6546
3,39,0.73357
3,40,0.57592
3,43,0.6367
3,45,0.68668
3,46,0.61556
3,47,0.58213
3,48,0.6102
3,50,0.5815
3,53,0.52964
3,58,0.66735
3,59,0.61604
3,60,0.57744
3,66,0.61009
3,67,0.50792
3,72,0.52606
3,73,0.63118
3,74,0.59255
3,75,0.63126
3,76,0.73852
3,78,0.60396
3,79,0.5338
3,80,0.57269
3,81,0.57683
3,86,0.66673
3,87,0.59698
3,88,0.58698
3,89,0.63648
3,92,0.53432
3,96,0.63902
3,98,0.65663
4,5,0.61893
4,7,0.65014
4,9,0.53622
4,11,0.72397
4,18,0.57075
4,25,0.50727
4,31,0.54754
4,32,0.51413
4,35,0.54981
4,36,0.55915
4,37,0.60792
4,38,0.58334
4,39,0.67836
4,40,0.66812
4,43,0.52969
4,45,0.59572
4,46,0.52869
4,47,0.58912
4,48,0.53143
4,53,0.50368
4,58,0.5208
4,59,0.50616
4,60,0.70064
4,66,0.57673
4,67,0.56413
4,73,0.51307
4,74,0.58193
4,75,0.65161
4,76,0.69777
4,77,0.55144
4,81,0.54206
4,86,0.53207
4,87,0.58492
4,88,0.57532
4,89,0.54856
4,96,0.55352
4,97,0.53426
4,98,0.53868
5,6,0.51337
5,7,0.79454
5,8,0.52766
5,9,0.5548
5,11,0.708
5,13,0.52938
5,14,0.52097
5,18,0.55017
5,20,0.57592
5,23,0.63858
5,25,0.53965
5,27,0.50439
5,29,0.53831
5,30,0.55762
5,31,0.51579
5,32,0.50874
5,34,0.55862
5,35,0.53917
5,36,0.57146
5,37,0.55588
5,38,0.53628
5,39,0.65145
5,40,0.61296
5,41,0.60659
5,42,0.53085
5,43,0.5813
5,44,0.51327
5,45,0.58054
5,46,0.53818
5,47,0.58724
5,48,0.50867
5,53,0.63277
5,58,0.53575
5,60,0.67602
5,61,0.51271
5,66,0.60165
5,68,0.50148
5,72,0.51485
5,73,0.56429
5,74,0.62002
5,75,0.66154
5,76,0.5941
5,79,0.50498
5,81,0.50333
5,87,0.50447
5,88,0.51129
5,89,0.5044
5,92,0.53174
5,104,0.5029
6,8,0.80202
6,9,0.50242
6,10,0.59432
6,12,0.58795
6,15,0.53912
6,17,0.54974
6,20,0.5761
6,21,0.63599
6,23,0.63334
6,24,0.774
6,27,0.73682
6,28,0.60609
6,29,0.62845
6,30,0.69871
6,41,0.63617
6,42,0.80867
6,44,0.53533
6,49,0.56987
6,53,0.50951
6,54,0.79796
6,61,0.76191
6,62,0.53775
6,63,0.63326
6,75,0.5571
6,82,0.51786
6,85,0.51164
6,90,0.51356
6,91,0.54348
6,93,0.68786
6,95,0.61776
6,100,0.57735
6,101,0.65761
6,105,0.51578
7,9,0.55514
7,11,0.71825
7,13,0.57479
7,14,0.63436
7,18,0.56667
7,20,0.56626
7,23,0.59356
7,25,0.50754
7,26,0.55806
7,29,0.52997
7,30,0.52394
7,31,0.60671
7,32,0.57458
7,34,0.59452
7,35,0.55587
7,36,0.53858
7,37,0.63743
7,38,0.63065
7,39,0.65562
7,40,0.62188
7,41,0.54776
7,43,0.61484
7,44,0.50919
7,45,0.50187
7,47,0.58097
7,48,0.54869
7,53,0.50593
7,58,0.50613
7,60,0.64467
7,66,0.60644
7,67,0.55952
7,68,0.54867
7,72,0.53053
7,73,0.52208
7,74,0.55283
7,75,0.56082
7,76,0.51393
7,79,0.55008
7,81,0.58734
7,83,0.53375
7,86,0.5327
7,87,0.57503
7,88,0.52542
8,9,0.52778
8,10,0.72646
8,12,0.59178
8,20,0.60647
8,23,0.57343
8,24,0.73873
8,26,0.53237
8,27,0.6109
8,28,0.57026
8,29,0.59535
8,30,0.66625
8,40,0.59114
8,41,0.55398
8,42,0.71091
8,49,0.54748
8,54,0.66445
8,60,0.54796
8,61,0.82759
8,63,0.51164
8,69,0.51867
8,74,0.55425
8,75,0.5945
8,77,0.5172
8,90,0.57596
8,91,0.55602
8,93,0.57369
8,95,0.63658
8,97,0.50425
8,99,0.53595
8,101,0.55332
8,105,0.51138
9,10,0.59155
9,11,0.56721
9,20,0.55902
9,23,0.56452
9,24,0.54129
9,25,0.71305
9,26,0.66392
9,27,0.57792
9,29,0.54559
9,40,0.57442
9,41,0.52517
9,44,0.50902
9,47,0.52849
9,49,0.50271
9,60,0.63445
9,61,0.56801
9,66,0.53387
9,67,0.5204
9,69,0.50226
9,72,0.50048
9,74,0.58454
9,75,0.58424
9,77,0.56233
9,104,0.50706
9,105,0.55282
10,12,0.51071
10,20,0.53473
10,23,0.52292
10,24,0.66241
10,26,0.73197
10,27,0.53251
10,29,0.66603
10,30,0.63568
10,32,0.50739
10,40,0.58858
10,42,0.54679
10,47,0.56317
10,49,0.69442
10,54,0.53999
10,60,0.5357
10,61,0.63222
10,62,0.53829
10,63,0.52084
10,66,0.54978
10,68,0.51065
10,69,0.61142
10,74,0.56628
10,75,0.50167
10,90,0.59251
10,94,0.51023
10,95,0.59671
10,99,0.66399
10,101,0.50766
10,105,0.50681
11,13,0.5797
11,14,0.50996
11,18,0.53349
11,25,0.50295
11,31,0.61091
11,32,0.59962
11,33,0.57357
11,34,0.5869
11,35,0.7147
11,36,0.67805
11,37,0.724
11,38,0.6505
11,39,0.71331
11,40,0.55629
11,43,0.67128
11,45,0.66167
11,46,0.61012
11,47,0.62788
11,48,0.60293
11,58,0.62397
11,59,0.57536
11,60,0.62334
11,66,0.6294
11,72,0.54486
11,73,0.59855
11,74,0.62826
11,75,0.64812
11,76,0.68483
11,78,0.51202
11,81,0.50458
11,86,0.5335
11,87,0.50513
11,88,0.6084
11,89,0.5797
11,92,0.57146
11,98,0.50996
12,15,0.53739
12,16,0.60249
12,20,0.56015
12,21,0.54454
12,22,0.60539
12,24,0.61045
12,27,0.73249
12,28,0.70536
12,42,0.56405
12,54,0.59737
12,61,0.67714
12,69,0.57981
12,77,0.69538
12,90,0.53004
12,91,0.69883
12,93,0.58898
12,95,0.72043
13,14,0.73135
13,17,0.50738
13,18,0.59083
13,19,0.62215
13,31,0.59012
13,32,0.63661
13,33,0.73849
13,34,0.79937
13,35,0.66422
13,36,0.714
13,37,0.64964
13,38,0.64926
13,39,0.59689
13,43,0.6206
13,45,0.54114
13,46,0.5026
13,47,0.51797
13,48,0.65222
13,50,0.93969
13,51,0.63525
13,55,0.5019
13,56,0.55433
13,57,0.574
13,58,0.63059
13,59,0.63456
13,66,0.55712
13,72,0.52769
13,73,0.53516
13,78,0.88072
13,79,0.6834
13,80,0.57088
13,81,0.70847
13,83,0.61173
13,85,0.5015
13,86,0.78406
13,87,0.67135
13,88,0.52376
13,89,0.58641
13,92,0.58979
13,96,0.62385
13,98,0.51611
14,17,0.61763
14,18,0.54672
14,19,0.6714
14,23,0.55486
14,29,0.50898
14,30,0.56039
14,31,0.6809
14,32,0.68151
14,33,0.5382
14,34,0.74511
14,35,0.52534
14,36,0.50773
14,37,0.63318
14,38,0.73681
14,39,0.54076
14,40,0.57101
14,43,0.62636
14,44,0.58996
14,45,0.52403
14,47,0.54089
14,50,0.71686
14,51,0.61531
14,58,0.51587
14,66,0.60441
14,67,0.53347
14,70,0.5005
14,71,0.55239
14,72,0.55822
14,73,0.53378
14,74,0.53986
14,78,0.71531
14,79,0.83827
14,80,0.65319
14,81,0.89781
14,83,0.58779
14,85,0.56231
14,86,0.78306
14,87,0.80007
14,88,0.50258
14,96,0.60139
14,97,0.51133
14,98,0.52078
15,16,0.6594
15,21,0.74431
15,22,0.58377
15,23,0.52596
15,24,0.55347
15,27,0.60925
15,28,0.63824
15,29,0.53902
15,30,0.52267
15,41,0.59413
15,42,0.51671
15,49,0.52035
15,52,0.55062
15,53,0.50489
15,54,0.556
15,62,0.74516
15,63,0.65406
15,64,0.52848
15,68,0.54536
15,69,0.5502
15,70,0.58394
15,82,0.56499
15,93,0.58548
15,100,0.52353
15,101,0.55696
15,102,0.61124
15,103,0.62925
16,20,0.61019
16,21,0.58705
16,22,0.5598
16,24,0.57456
16,26,0.50962
16,27,0.63224
16,28,0.65907
16,41,0.57594
16,53,0.51884
16,54,0.53567
16,60,0.52768
16,61,0.51568
16,62,0.50948
16,68,0.59681
16,69,0.63865
16,77,0.68089
16,91,0.56224
16,93,0.52173
16,94,0.53888
16,95,0.56244
16,102,0.58187
16,103,0.56739
16,105,0.50981
17,19,0.64845
17,20,0.52909
17,21,0.5769
17,23,0.64569
17,24,0.53782
17,25,0.55933
17,29,0.50836
17,30,0.5541
17,34,0.55554
17,41,0.56225
17,42,0.56481
17,44,0.57339
17,49,0.51944
17,50,0.53077
17,51,0.5845
17,54,0.50158
17,63,0.54898
17,64,0.5379
17,65,0.51567
17,67,0.57368
17,70,0.58203
17,72,0.56315
17,78,0.58217
17,79,0.73993
17,80,0.54627
17,81,0.61329
17,82,0.59634
17,83,0.61503
17,84,0.68568
17,85,0.81195
17,86,0.56681
17,87,0.63956
17,93,0.5193
17,100,0.51702
17,101,0.54305
18,19,0.64849
18,20,0.63022
18,23,0.59968
18,25,0.54282
18,32,0.52385
18,36,0.52894
18,37,0.52147
18,38,0.50354
18,39,0.70737
18,40,0.62943
18,41,0.55191
18,47,0.61213
18,48,0.53346
18,50,0.55718
18,53,0.60057
18,55,0.66092
18,56,0.53695
18,58,0.56084
18,59,0.56134
18,66,0.63563
18,76,0.57423
18,78,0.52322
18,79,0.54949
18,81,0.59502
18,83,0.58106
18,84,0.50033
18,85,0.502
18,86,0.59067
18,87,0.625
18,88,0.56574
18,89,0.50881
18,92,0.52407
18,94,0.58759
18,96,0.63037
18,97,0.58847
18,104,0.54387
19,20,0.51453
19,23,0.55205
19,30,0.50963
19,32,0.52594
19,34,0.52385
19,36,0.50487
19,38,0.51901
19,39,0.51062
19,40,0.56757
19,42,0.54639
19,44,0.5391
19,45,0.51583
19,47,0.51648
19,50,0.63443
19,51,0.56711
19,55,0.52391
19,56,0.59101
19,58,0.51001
19,66,0.55967
19,74,0.50323
19,78,0.69029
19,79,0.76017
19,80,0.58038
19,81,0.769
19,82,0.5955
19,83,0.52105
19,84,0.63816
19,85,0.63801
19,86,0.72784
19,87,0.77853
19,96,0.72147
19,97,0.64435
20,21,0.5309
20,23,0.74611
20,24,0.77802
20,25,0.55786
20,26,0.59045
20,27,0.62409
20,28,0.60593
20,29,0.51631
20,30,0.52962
20,40,0.5987
20,41,0.73267
20,42,0.67157
20,53,0.56012
20,54,0.60127
20,60,0.57678
20,61,0.59951
20,68,0.55393
20,69,0.56855
20,77,0.61092
20,85,0.53414
20,93,0.55147
20,94,0.53819
20,95,0.53354
20,101,0.50707
20,104,0.51052
20,105,0.56674
21,22,0.57105
21,23,0.58522
21,24,0.64703
21,27,0.63941
21,28,0.54429
21,29,0.5123
21,30,0.50594
21,41,0.64075
21,42,0.60071
21,49,0.55036
21,52,0.55236
21,53,0.50746
21,54,0.69913
21,56,0.50888
21,62,0.68903
21,63,0.7074
21,64,0.64207
21,65,0.54769
21,70,0.57915
21,82,0.62921
21,84,0.61679
21,85,0.56246
21,93,0.71154
21,95,0.58043
21,100,0.68132
21,101,0.75014
21,103,0.59729
21,105,0.54646
22,27,0.53148
22,28,0.69936
22,52,0.51976
22,54,0.52967
22,56,0.51497
22,57,0.54429
22,62,0.50714
22,82,0.56162
22,90,0.65241
22,91,0.73362
22,93,0.62606
22,94,0.5666
22,95,0.62757
22,101,0.54106
23,24,0.73629
23,25,0.69374
23,26,0.5473
23,27,0.57063
23,28,0.51144
23,29,0.66489
23,30,0.6846
23,39,0.54679
23,40,0.65433
23,41,0.86572
23,42,0.72861
23,44,0.57044
23,47,0.50993
23,49,0.58945
23,53,0.63805
23,54,0.62979
23,55,0.53168
23,60,0.53525
23,61,0.53856
23,62,0.51763
23,63,0.56311
23,66,0.55862
23,67,0.52622
23,74,0.53913
23,75,0.53351
23,79,0.62209
23,80,0.5259
23,81,0.55363
23,83,0.54974
23,84,0.53935
23,85,0.58234
23,87,0.5496
23,93,0.57552
23,100,0.54485
23,101,0.59181
23,104,0.53062
23,105,0.55198
24,25,0.53581
24,26,0.56772
