StartNode, EndNode, Connectivity
1,2,0.57632
1,5,0.59627
1,7,0.58677
1,8,0.52342
1,12,0.51191
1,41,0.54635
1,53,0.5501
1,56,0.61225
1,57,0.57347
1,60,0.55516
1,65,0.54618
1,91,0.50366
2,6,0.65279
2,8,0.62941
2,21,0.56254
2,23,0.56354
2,27,0.54709
2,41,0.60845
2,42,0.60912
2,44,0.57075
2,49,0.5827
2,52,0.53628
2,53,0.51593
2,54,0.67429
2,56,0.53925
2,57,0.52952
2,60,0.59128
2,61,0.60776
2,63,0.55225
2,64,0.51573
2,65,0.56324
2,90,0.60765
2,91,0.53859
2,95,0.62921
2,101,0.51792
2,105,0.51844
3,4,0.81643
3,11,0.71634
3,13,0.67085
3,14,0.6468
3,18,0.5792
3,19,0.52581
3,31,0.59671
3,32,0.64345
3,33,0.6358
3,34,0.60504
3,35,0.67359
3,36,0.63519
3,37,0.70642
3,38,0.72471
3,39,0.69733
3,40,0.50015
3,43,0.58185
3,48,0.56615
3,50,0.58763
3,58,0.64922
3,59,0.65964
3,66,0.51638
3,76,0.77706
3,77,0.53439
3,78,0.66575
3,79,0.64238
3,80,0.61396
3,81,0.60056
3,82,0.66967
3,83,0.6365
3,86,0.64259
3,89,0.57544
3,96,0.75194
3,97,0.59926
3,98,0.63595
4,7,0.58586
4,11,0.68651
4,13,0.61252
4,14,0.6437
4,18,0.53418
4,19,0.53173
4,31,0.58283
4,32,0.61554
4,33,0.55628
4,34,0.52816
4,35,0.62522
4,36,0.66398
4,37,0.64173
4,38,0.66779
4,39,0.66893
4,43,0.57961
4,47,0.50652
4,48,0.58417
4,50,0.53204
4,58,0.58669
4,59,0.5853
4,66,0.52525
4,67,0.54131
4,75,0.51977
4,76,0.67209
4,77,0.61978
4,78,0.60683
4,79,0.63426
4,80,0.55064
4,81,0.57275
4,82,0.61475
4,83,0.61163
4,85,0.53946
4,86,0.58922
4,87,0.52936
4,88,0.52313
4,89,0.58007
4,96,0.72359
4,97,0.67819
4,98,0.57815
5,6,0.54318
5,7,0.68456
5,12,0.54788
5,13,0.50804
5,14,0.56674
5,22,0.51464
5,29,0.60041
5,30,0.52114
5,32,0.52052
5,34,0.51719
5,41,0.60363
5,43,0.52936
5,51,0.57116
5,53,0.55799
5,55,0.50931
5,56,0.66593
5,57,0.61841
5,60,0.56645
5,85,0.53296
5,92,0.67694
5,93,0.58361
6,8,0.59375
6,12,0.51766
6,20,0.50416
6,21,0.62289
6,22,0.53302
6,23,0.64952
6,24,0.59807
6,27,0.69611
6,28,0.54164
6,29,0.66232
6,30,0.65148
6,41,0.77527
6,42,0.69866
6,44,0.55668
6,49,0.63366
6,53,0.57324
6,54,0.73155
6,56,0.58981
6,57,0.5432
6,60,0.5645
6,61,0.59913
6,63,0.51593
6,65,0.51616
6,93,0.60489
6,95,0.64969
6,101,0.51232
7,11,0.50645
7,12,0.50555
7,14,0.62903
7,31,0.53277
7,32,0.58185
7,35,0.50897
7,36,0.55165
7,43,0.57517
7,46,0.50356
7,56,0.59191
7,57,0.56956
7,60,0.56603
7,72,0.52475
7,73,0.52095
7,75,0.5116
7,77,0.52875
7,79,0.50003
7,85,0.5825
7,87,0.51072
7,89,0.51088
7,92,0.6226
7,93,0.5075
7,97,0.57125
7,102,0.52702
8,12,0.66751
8,19,0.5209
8,20,0.51414
8,23,0.57227
8,24,0.53297
8,26,0.5392
8,36,0.52319
8,40,0.59111
8,41,0.57621
8,42,0.60158
8,44,0.62313
8,56,0.51614
8,57,0.55001
8,61,0.57989
8,77,0.61716
8,84,0.54206
8,87,0.5019
8,90,0.54943
8,91,0.53675
8,93,0.52568
8,95,0.58544
8,99,0.50912
9,10,0.57188
9,11,0.50983
9,14,0.50723
9,17,0.51085
9,19,0.51888
9,25,0.65815
9,26,0.53331
9,31,0.59961
9,32,0.51451
9,35,0.50565
9,37,0.50604
9,38,0.50801
9,55,0.50613
9,72,0.51388
9,79,0.5312
9,81,0.52328
9,85,0.59389
9,86,0.52026
9,87,0.58651
9,92,0.53505
9,96,0.51835
9,97,0.56546
10,12,0.52527
10,17,0.54261
10,19,0.6509
10,20,0.60726
10,22,0.56018
10,23,0.56661
10,24,0.63983
10,25,0.62314
10,26,0.78658
10,30,0.539
10,31,0.54865
10,32,0.56981
10,36,0.5203
10,40,0.60086
10,43,0.53032
10,44,0.61446
10,59,0.50928
10,61,0.54202
10,71,0.50776
10,78,0.50931
10,79,0.5706
10,81,0.57364
10,84,0.60045
10,85,0.51092
10,86,0.56114
10,87,0.64331
10,92,0.54764
10,93,0.61015
10,96,0.53548
10,97,0.57459
10,98,0.53591
10,99,0.54735
10,102,0.50174
10,103,0.56142
11,13,0.77818
11,14,0.6725
11,19,0.53047
11,31,0.72577
11,32,0.6813
11,33,0.75047
11,34,0.67433
11,35,0.65697
11,36,0.56064
11,37,0.88223
11,38,0.84785
11,39,0.76952
11,40,0.52713
11,43,0.53093
11,48,0.55636
11,50,0.67809
11,51,0.52412
11,58,0.59173
11,59,0.59468
11,76,0.69734
11,77,0.52187
11,78,0.76536
11,79,0.65354
11,80,0.6679
11,81,0.6093
11,82,0.51138
11,83,0.5473
11,84,0.50464
11,85,0.51433
11,86,0.7289
11,87,0.53188
11,89,0.51422
11,92,0.50206
11,94,0.51747
11,96,0.73545
11,97,0.58111
11,98,0.64967
12,14,0.53523
12,19,0.52849
12,20,0.57315
12,22,0.57262
12,23,0.54267
12,24,0.58429
12,26,0.63596
12,27,0.5132
12,28,0.55304
12,29,0.54375
12,30,0.52495
12,32,0.51326
12,36,0.594
12,40,0.60697
12,41,0.5256
12,42,0.56878
12,43,0.51498
12,44,0.56163
12,45,0.52005
12,46,0.52829
12,57,0.50965
12,61,0.59221
12,77,0.64607
12,79,0.50064
12,84,0.55877
12,87,0.53479
12,92,0.50747
12,93,0.58425
12,95,0.53579
13,14,0.68141
13,19,0.51924
13,26,0.54834
13,31,0.64806
13,32,0.69857
13,33,0.86773
13,34,0.80093
13,35,0.67255
13,36,0.59692
