StartNode, EndNode, Connectivity
1,18,0.51581
1,27,0.50537
1,28,0.50711
1,53,0.52039
1,56,0.50078
1,60,0.5026
2,6,0.6343
2,8,0.54675
2,15,0.52395
2,16,0.57556
2,20,0.56275
2,21,0.55397
2,23,0.52614
2,24,0.56099
2,27,0.60366
2,28,0.52437
2,41,0.51503
2,42,0.63958
2,49,0.56685
2,53,0.54699
2,54,0.71203
2,60,0.52255
2,61,0.70296
2,63,0.52837
2,77,0.50177
2,90,0.51936
2,95,0.73308
2,101,0.56285
2,104,0.54339
2,105,0.58961
3,4,0.81534
3,11,0.57234
3,37,0.55912
3,38,0.52715
3,39,0.62616
3,48,0.54026
3,55,0.50042
3,58,0.50579
3,59,0.52548
3,76,0.7694
3,78,0.58223
3,80,0.60362
3,82,0.58668
3,83,0.65456
3,86,0.54064
3,89,0.5113
3,96,0.6246
3,98,0.59692
4,11,0.5417
4,37,0.54158
4,38,0.51846
4,39,0.58027
4,48,0.54069
4,55,0.50349
4,59,0.51122
4,76,0.70238
4,77,0.54632
4,78,0.53659
4,80,0.54463
4,82,0.52471
4,83,0.57592
4,86,0.50399
4,96,0.57412
4,97,0.51232
4,98,0.54228
5,7,0.64386
5,13,0.53674
5,14,0.70439
5,17,0.5253
5,19,0.55995
5,29,0.61667
5,30,0.56429
5,32,0.52812
5,34,0.55077
5,41,0.57092
5,50,0.54561
5,51,0.63355
5,56,0.5653
5,57,0.55704
5,79,0.64359
5,81,0.58041
5,84,0.50918
5,85,0.62498
5,87,0.5674
5,92,0.71841
5,93,0.55341
5,102,0.62044
5,103,0.58353
6,8,0.64018
6,9,0.5001
6,10,0.51376
6,12,0.51252
6,15,0.55031
6,16,0.51153
6,17,0.55722
6,20,0.59067
6,21,0.65547
6,22,0.51209
6,23,0.68234
6,24,0.65483
6,25,0.57845
6,27,0.68185
6,29,0.64722
6,30,0.71075
6,41,0.75107
6,42,0.73164
6,44,0.56317
6,49,0.69831
6,53,0.56495
6,54,0.6776
6,56,0.61371
6,57,0.56589
6,60,0.53061
6,61,0.65402
6,63,0.50204
6,69,0.50944
6,93,0.66565
6,95,0.65999
6,100,0.51442
6,101,0.57717
7,14,0.67469
7,31,0.57861
7,32,0.63864
7,33,0.52827
7,34,0.58854
7,35,0.58452
7,36,0.56718
7,43,0.63157
7,44,0.52977
7,46,0.52679
7,51,0.54718
7,68,0.56241
7,70,0.54006
7,71,0.56181
7,72,0.51044
7,73,0.52356
7,79,0.52515
7,81,0.56044
7,85,0.50077
7,87,0.54856
7,92,0.55795
7,102,0.63499
8,10,0.52157
8,12,0.51891
8,20,0.50651
8,21,0.51194
8,23,0.56126
8,24,0.58131
8,26,0.55435
8,27,0.50016
8,30,0.55704
8,40,0.53205
8,41,0.6057
8,42,0.62889
8,44,0.63946
8,49,0.52945
8,57,0.53725
8,61,0.57561
8,93,0.52177
8,95,0.52971
8,99,0.5314
9,10,0.531
9,24,0.51782
9,25,0.61124
9,26,0.52184
9,29,0.60533
9,30,0.51803
9,49,0.61802
9,53,0.52155
9,54,0.51565
9,55,0.56511
9,56,0.50802
9,60,0.64608
9,61,0.52643
9,77,0.52259
9,92,0.52201
9,93,0.53308
9,97,0.51001
10,12,0.58882
10,19,0.51256
10,20,0.59337
10,22,0.55072
10,23,0.57502
10,24,0.7182
10,25,0.61663
10,26,0.69804
10,27,0.53275
10,28,0.5463
10,29,0.55572
10,30,0.50473
10,40,0.63038
10,41,0.51287
10,42,0.58922
10,44,0.50054
10,49,0.50243
10,56,0.53125
10,57,0.53206
10,61,0.5831
10,77,0.55245
10,93,0.57555
10,99,0.56391
11,13,0.62181
11,31,0.53004
11,32,0.57531
11,33,0.60102
11,34,0.54892
11,35,0.53243
11,37,0.75144
