,Mod
1,1
2,1
3,3
4,3
5,1
6,1
7,3
8,1
9,3
10,1
11,3
12,1
13,3
14,4
15,1
16,1
17,4
18,3
19,4
20,1
21,1
22,1
23,1
24,1
25,3
26,1
27,1
28,1
29,1
30,1
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,1
41,1
42,1
43,3
44,4
45,3
46,3
47,3
48,3
49,1
50,3
51,4
52,1
53,1
54,1
55,1
56,1
57,1
58,3
59,3
60,3
61,1
62,1
63,1
64,4
65,4
66,3
67,3
68,3
69,1
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,1
78,3
79,4
80,3
81,3
82,1
83,3
84,1
85,1
86,3
87,3
88,3
89,3
90,1
91,1
92,3
93,1
94,1
95,1
96,3
97,4
98,3
99,1
100,1
101,1
102,1
103,1
104,1
105,1
