,Mod
1,7
2,7
3,6
4,6
5,7
6,4
7,7
8,7
9,6
10,6
11,7
12,7
13,7
14,6
15,4
16,4
17,4
18,4
19,6
20,4
21,4
22,7
23,4
24,4
25,4
26,6
27,6
28,4
29,7
30,7
31,7
32,7
33,7
34,6
35,7
36,7
37,6
38,6
39,4
40,6
41,4
42,4
43,7
44,7
45,7
46,7
47,7
48,7
49,4
50,6
51,6
52,4
53,4
54,4
55,6
56,4
57,4
58,6
59,4
60,6
61,4
62,4
63,4
64,4
65,6
66,6
67,7
68,6
69,6
70,6
71,7
72,4
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,4
83,4
84,4
85,4
86,6
87,7
88,6
89,7
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,4
101,4
102,6
103,6
104,6
105,4
