,Mod
1,4
2,4
3,6
4,6
5,4
6,4
7,7
8,4
9,7
10,4
11,7
12,4
13,7
14,6
15,4
16,4
17,6
18,7
19,6
20,7
21,4
22,4
23,4
24,4
25,7
26,7
27,4
28,4
29,4
30,4
31,7
32,7
33,7
34,7
35,7
36,7
37,6
38,6
39,4
40,4
41,4
42,4
43,7
44,7
45,7
46,7
47,6
48,7
49,4
50,6
51,6
52,4
53,4
54,4
55,6
56,4
57,4
58,7
59,7
60,4
61,4
62,4
63,4
64,7
65,6
66,6
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,6
75,7
76,4
77,4
78,6
79,6
80,6
81,6
82,7
83,7
84,6
85,6
86,6
87,6
88,6
89,7
90,4
91,7
92,6
93,6
94,6
95,4
96,6
97,6
98,6
99,6
100,7
101,4
102,7
103,7
104,7
105,4
