,Mod
1,1
2,1
3,2
4,2
5,2
6,1
7,2
8,1
9,1
10,1
11,2
12,1
13,2
14,3
15,1
16,1
17,3
18,3
19,3
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,1
41,1
42,1
43,2
44,3
45,2
46,2
47,2
48,2
49,1
50,3
51,3
52,1
53,1
54,1
55,3
56,3
57,3
58,2
59,2
60,1
61,1
62,1
63,1
64,3
65,3
66,2
67,3
68,1
69,1
70,3
71,2
72,2
73,2
74,2
75,2
76,2
77,1
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,2
89,2
90,1
91,1
92,2
93,1
94,1
95,1
96,3
97,3
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
